Rank,Title,Impact_Score,Start_Date,End_Date,Venue,Link2Conference,Link_Img
38,ACM Special Interest Group on Data Communication,8.60,10-09-2023,14-09-2023,New York City,https://research.com/conference/37th-acm-special-interest-group-on-data-communication,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
39,International Conference on Communications,7.90,28-05-2023,01-06-2023,Rome,https://research.com/conference/icc-2022-ieee-international-conference-on-communications1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
40,International Conference on Data Engineering,7.80,09-05-2022,12-05-2022,,https://research.com/conference/38th-ieee-international-conference-on-data-engineering,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
41,Asian Conference on Computer Vision,7.50,04-12-2022,08-12-2022,Macau SAR,https://research.com/conference/asian-conference-on-computer-vision,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
42,Foundations of Software Engineering,7.40,11-11-2023,17-11-2023," San Francisco, California",https://research.com/conference/foundations-of-software-engineering-fse,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
43,International Symposium on Biomedical Imaging,7.30,18-04-2023,21-04-2023,Cartagena de Indias,https://research.com/conference/isbi-2022-ieee-international-symposium-on-biomedical-imaging,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
44,Architectural Support for Programming Languages and Operating Systems,7.20,25-03-2023,29-03-2023,Vancouver,https://research.com/conference/hitectural-support-for-programming-languages-and-operating-systems-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
45,International Conference on Image Processing,7.10,08-10-2023,11-10-2023,Kuala Lumpur,https://research.com/conference/ieee-international-conference-in-image-processing,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
46,Programming Language Design and Implementation,7.10,20-06-2022,24-06-2022,"San Diego, California",https://research.com/conference/programming-language-design-and-implementation,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
47,International Symposium on Computer Architecture,7.10,18-06-2022,22-06-2022,New York City,https://research.com/conference/49th-international-symposium-on-computer-architecture,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
48,Language Resources and Evaluation,6.90,20-06-2022,25-06-2022,Marseille,https://research.com/conference/13th-language-resources-and-evaluation-conference,https://s.research.com/images/ba0d1d478baec84442b16739eb5c6203d2034df6-65x65.png
49,USENIX Annual Technical Conference,6.90,11-07-2022,13-07-2022,Carlsbad,https://research.com/conference/2022-usenix-annual-technical-conference,https://s.research.com/images/6abe140e0919533385800d57d8165dbb9b42ff01-65x65.jpeg
50,International Conference on Data Mining and Big Data,6.70,22-07-2022,24-07-2022,Shanghai,https://research.com/conference/5th-international-conference-on-data-mining-and-big-data-analytics,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
51,European Conference on Computer Systems,6.70,09-05-2023,12-05-2023,Rome,https://research.com/conference/eurosys-2023,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
52,Networked Systems Design and Implementation,6.60,17-04-2023,19-04-2023,Boston,https://research.com/conference/nsdi-2022-symposium-on-networked-systems-design-and-implementation20,https://s.research.com/images/6abe140e0919533385800d57d8165dbb9b42ff01-65x65.jpeg
53,IEEE International Conference on Automatic Face & Gesture Recognition,6.30,07-01-2023,08-01-2023,Hawaii,https://research.com/conference/international-conference-on-automatic-face-and-gesture-recognition,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
54,International Symposium on Microarchitecture,6.30,01-10-2022,05-10-2022,Chicago,https://research.com/conference/ieeeacm-international-symposium-on-microarchitecture,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
55,"Mobile Systems, Applications, and Services",6.10,25-06-2022,01-07-2022,Portland,https://research.com/conference/the-20th-acm-international-conference-on-mobile-systems-applications-and-services,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
56,IEEE Conference and Exhibition on Global Telecommunications,6.00,04-12-2023,08-12-2023,Kuala Lumpur,https://research.com/conference/ieee-global-communications-conference-globecom-2023,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
57,Annual International Conference on Mobile Computing and Networking,6.00,01-10-2023,31-10-2023,Madrid,https://research.com/conference/the-28th-annual-international-conference-on-mobile-computing-and-networking,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
58,Conference on Learning Theory,6.00,02-07-2022,05-07-2022,London,https://research.com/conference/35th-annual-conference-on-learning-theory-colt-2022,https://s.research.com/images/62635dcee98f48904d4ff063824e3f0cd2a97543-51x65.png
59,International Symposium on Information Theory,5.90,25-06-2023,30-06-2023,Taipei,https://research.com/conference/ieee-international-symposium-on-information-theory,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
60,Spoken Language Technology Workshop,5.90,09-01-2023,12-01-2023,Doha,https://research.com/conference/2022-ieee-spoken-language-technology-workshop-slt-2022,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
61,IEEE International Conference on Multimedia and Expo,5.80,10-07-2023,14-07-2023,Brisbane,https://research.com/conference/ieee-international-conference-on-multimedia-and-expo-2,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
62,International Conference on 3D Vision,5.80,18-03-2024,21-03-2024,Davos,https://research.com/conference/11th-international-conference-on-3d-vision,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
63,Automated Software Engineering,5.70,11-09-2023,15-09-2023,Kirchberg,https://research.com/conference/international-conference-on-automated-software-engineering,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
64,International Joint Conference on Neural Network,5.60,18-06-2023,23-06-2023,Queensland,https://research.com/conference/international-joint-conference-on-neural-network-ijcnn,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
65,International Conference on Distributed Computing Systems,5.60,10-07-2022,13-07-2022,Bologna,https://research.com/conference/42nd-ieee-international-conference-on-distributed-computing-systems,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
66,Design Automation Conference,5.60,09-07-2023,13-07-2023,San Francisco,https://research.com/conference/design-automation-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
67,User Interface Software and Technology,5.60,29-10-2023,01-11-2023,California Bay Area,https://research.com/conference/the-acm-symposium-on-user-interface-software-and-technology-uist,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
68,ACM Conference On Recommender Systems,5.60,18-09-2023,22-09-2023,Singapore,https://research.com/conference/17th-acm-conference-on-recommender-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
69,Symposium on the Theory of Computing,5.60,20-06-2022,24-06-2022,Rome,https://research.com/conference/54th-annual-acm-symposium-on-theory-of-computing,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
70,Automatic Speech Recognition and Understanding,5.60,13-12-2021,13-12-2021,Cartagena,https://research.com/conference/asru-2021-ieee-automatic-speech-recognition-and-understanding-workshop,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
71,Conference on Computer Communications Workshops,5.40,17-05-2023,20-05-2023,New York,https://research.com/conference/ieee-international-conference-on-computer-communications-3,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
72,Uncertainty in Artificial Intelligence,5.40,31-07-2023,04-08-2023,Pittsburgh,https://research.com/conference/the-conference-on-uncertainty-in-artificial-intelligence,https://s.research.com/images/dbffcb66ed8f9aa2f13173773f9379e30bcc3d5a-65x65.png
73,International Cryptology Conference,5.40,19-08-2023,24-08-2023,Santa Barbara,https://research.com/conference/42nd-annual-international-cryptology-conference,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
74,Genetic and Evolutionary Computation Conference,5.30,15-07-2023,19-07-2023,Lisbon,https://research.com/conference/genetic-and-evolutionary-computation-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
75,Conference on Computational Natural Language Learning,5.30,07-12-2022,08-12-2022,Abu Dhabi,https://research.com/conference/conference-on-computational-natural-language-learning,https://s.research.com/website/1098944084/images/placeholder.svg
76,IEEE European Symposium on Security and Privacy,5.10,03-07-2023,07-07-2023,Delft,https://research.com/conference/ieee-european-symposium-on-security-and-privacy,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
77,Operating Systems Design and Implementation,5.10,11-07-2022,13-07-2022,Carlsbad,https://research.com/conference/16th-usenix-symposium-on-operating-systems-design-and-implementation,https://s.research.com/images/6abe140e0919533385800d57d8165dbb9b42ff01-65x65.jpeg
78,Foundations of Computer Science,5.10,06-11-2023,09-11-2023,Santa Cruz,https://research.com/conference/64th-ieee-symposium-on-foundations-of-computer-science-focs-2023-2,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
79,International Conference on Big Data,5.00,15-12-2023,18-12-2023,Sorrento,https://research.com/conference/2023-ieee-international-conference-on-big-data-ieee-bigdata-2023,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
80,Autonomous Agents and Multiagent Systems,5.00,29-05-2023,02-06-2023,London,https://research.com/conference/international-conference-on-autonomous-agents-and-multiagent-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
81,Symposium on Discrete Algorithms,5.00,22-01-2023,25-01-2023,Florence,https://research.com/conference/soda-2022-acm-siam-symposium-on-discrete-algorithms1,https://s.research.com/images/ad0549c638178e320d9d978ac322910fb5d6df9b-122x65.png
82,High-Performance Computer Architecture,5.00,25-02-2023,01-03-2023,Montreal,https://research.com/conference/hpca-2022-ieee-international-symposium-on-high-performance-computer-architecture,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
83,"AI, Ethics, and Society",5.00,09-08-2023,11-08-2023,Montreal,https://research.com/conference/6th-aaaiacm-conference-on-artificial-intelligence-ethics-and-society,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
84,International Symposium on Software Testing and Analysis,5.00,17-07-2023,21-07-2023,Seattle,https://research.com/conference/international-symposium-on-software-testing-and-analysis,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
85,International Conference on Pattern Recognition,4.90,01-12-2024,05-12-2024,Kolkata,https://research.com/conference/27th-international-conference-on-pattern-recognition,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
86,IEEE Intelligent Vehicles Symposium,4.90,04-06-2023,07-06-2023,Anchorage,https://research.com/conference/ieee-intelligent-vehicles-symposium,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
87,Internet Measurement Conference,4.90,24-10-2023,26-10-2023,Montreal,https://research.com/conference/2023-internet-measurement-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
88,Theory and Application of Cryptographic Techniques,4.90,23-04-2023,27-04-2023,Lyon,https://research.com/conference/annual-international-conference-on-the-theory-and-applications-of-cryptology-and-information-security,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
89,"Conference on Fairness, Accountability, and Transparency",4.80,21-06-2022,24-06-2022,Seoul,https://research.com/conference/acm-conference-on-fairness-accountability-and-transparency,https://s.research.com/images/786e71d8661dacda491c8f4da688ce00450d8c00-65x65.png
90,Congress on Evolutionary Computation,4.70,02-07-2023,05-07-2023,Chicago,https://research.com/conference/ieee-congress-on-evolutionary-computation,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
91,International Conference on Intelligent Transportation Systems,4.70,24-09-2023,28-09-2023,Bilbao,https://research.com/conference/25th-ieee-international-conference-on-intelligent-transportation-systems,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
92,Very Large Data Bases,4.70,28-08-2023,01-09-2023,Vancouver,https://research.com/conference/48th-international-conference-on-very-large-data-bases,https://s.research.com/images/80000c284f6f90c64e519c0dcbc48348bb37f7e7-63x65.png
93,"Software Analysis, Evolution, and Reengineering",4.70,21-03-2023,24-03-2023,Macao SAR,https://research.com/conference/ieee-international-conference-on-software-analysis-evolution-and-reengineering,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
94,Financial Cryptography and Data Security,4.70,01-05-2023,05-05-2023,Brač,https://research.com/conference/international-conference-on-financial-cryptography-and-data-security,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
95,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,4.60,18-09-2023,22-09-2023,Torino,https://research.com/conference/european-conference-on-machine-learning-and-principles-and-practice-of-knowledge-discovery-in-databases-2,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
96,Intelligent User Interfaces,4.60,27-03-2023,31-03-2023,Sydney,https://research.com/conference/iui-2022-international-conference-on-intelligent-user-interfaces,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
97,International Workshop on Signal Processing Advances in Wireless Communications,4.60,04-07-2022,06-07-2022,Oulu,https://research.com/conference/23rd-ieee-international-workshop-on-signal-processing-advances-in-wireless-communications,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
98,"Design, Automation, and Test in Europe",4.50,17-04-2023,19-04-2023,Antwerp,https://research.com/conference/design-automation-and-test-in-europe-conference,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
99,International Conference on Computer-Aided Design,4.50,29-10-2023,02-11-2023,San Francisco,https://research.com/conference/2023-international-conference-on-computer-aided-design,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
100,"International Conference for High Performance Computing, Networking, Storage, and Analysis",4.50,13-11-2022,18-11-2022,Dallas,https://research.com/conference/the-international-conference-for-high-performance-computing-networking-storage-and-analysis,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
101,SPIE Medical Imaging,4.40,19-02-2023,23-08-2023,San Diego,https://research.com/conference/spie-medical-imaging,https://s.research.com/images/354ea4190936c68e2681333e8b2eccf3728ab92e-172x65.png
102,Measurement and Modeling of Computer Systems,4.40,19-06-2023,23-06-2023,Orlando,https://research.com/conference/acm-sigmetrics-international-conference-on-measurement-and-modeling-of-computer-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
103,International Symposium on Parallel and Distributed Processing (IPDPS),4.30,15-05-2023,19-05-2023,St. Petersburg,https://research.com/conference/ipdps-2022-ieee-international-symposium-on-parallel-distributed-processing37,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
104,International Conference on High Performance Computing,4.30,18-12-2023,21-12-2023,Goa,https://research.com/conference/30th-ieee-international-conference-on-high-performance-computing-data-and-analytics,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
105,IEEE International Conference on Cloud Computing and Big Data Analysis ,4.30,26-04-2023,28-04-2023,Chengdu,https://research.com/conference/international-conference-on-cloud-computing-and-big-data-analytics-international-conference-on-cloud-computing-and-big-data-analytics,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
106,International Conference on Advances in Social Network Analysis and Mining,4.30,06-11-2023,09-11-2023,Morocco,https://research.com/conference/ieeeacm-international-conference-on-advances-in-social-networks-analysis-and-mining,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
107,IEEE International Conference on Communications Workshops,4.20,28-05-2023,01-06-2023,rome,https://research.com/conference/ieee-international-conference-on-communications-workshops-iccw,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
108,Computer Aided Verification,4.20,17-07-2023,22-07-2023,Paris,https://research.com/conference/international-conference-on-computer-aided-verification-1,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
109,Vehicular Technology Conference,4.10,18-06-2023,21-06-2023,Florence,https://research.com/conference/vtc-2022-ieee-vehicular-technology-conference,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
110,Wireless Communications and Networking Conference,4.10,26-03-2023,29-03-2023,"Glasgow, Scotland, UK",https://research.com/conference/ieee-wireless-communications-and-networking-conference,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
111,International Conference on Dependable Systems and Networks,4.10,27-06-2023,30-06-2023,Porto,https://research.com/conference/annual-ieeeifip-international-conference-on-dependable-systems-and-networks,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
112,Human-Robot Interaction,4.10,13-03-2023,16-03-2023,Stockholm,https://research.com/conference/acmieee-international-conference-on-human-robot-interaction,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
113,Machine Learning in Medical Imaging,4.10,08-10-2023,08-10-2023,Vancouver,https://research.com/conference/14th-machine-learning-in-medical-imaging,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
114,Mining Software Repositories,4.10,18-05-2022,24-05-2022,Pittsburgh,https://research.com/conference/the-2022-mining-software-repositories-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
115,SIAM International Conference on Data Mining,4.00,28-04-2022,30-04-2022,"Alexandria, VA",https://research.com/conference/siam-international-conference-on-data-mining,https://s.research.com/images/ad0549c638178e320d9d978ac322910fb5d6df9b-122x65.png
116,Symposium on Applied Computing,3.90,25-04-2022,29-04-2022,,https://research.com/conference/37th-acmsigapp-symposium-on-applied-computing,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
117,Annual Computer Security Applications Conference,3.90,04-12-2023,08-12-2023,Austin,https://research.com/conference/annual-computer-security-applications-conference-1,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
118,ACM Symposium on Operating Systems Principles,3.90,25-10-2021,25-10-2021,Koblenz,https://research.com/conference/sosp-2021-acm-symposium-on-operating-systems-principles,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
119,ACM International Conference on Multimodal Interaction,3.80,09-10-2023,13-10-2023,Paris,https://research.com/conference/25th-acm-international-conference-on-multimodal-interaction,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
